id,title,short,clubnight_venue,match_venue,alternative_match_venue,clubnight_details,match_details,match_secretary,secretary,website,message,pin,match_default_time,email,
1,Battledore,Bat,1,1,,Thu 19:15-23:00,Sun 19:00-23:30,,,,,BD9633,19:00,
2,Beaconsfield,Bea,28,28,,Thu 20:00-22:00,Sun 17:00-20:00,,,,,BE8327,17:00,
3,Bohemians,Boh,16,16,,Wed 19:30-22:00,Wed 19:30, Sun 18:00/19:30,,,,,,19:30,
4,Cedar,Ced,19,19,,Wed 19:30-22:30,Mon 19:20,,,,,CE5313,19:20,
5,Chalfont Monday,CM,29,19,,Mon 20:00-22:15,,,,,,,,
6,Chiltern Feathers,CF,22,22,,Tue 19:30-22:00,Fri 19:30-22:30,,,,,,19:30,
7,Cygnets,Cyg,17,17,27,Thu 20:00-22:00,Mon 20:00-  Sat 14:00-,,,,,CY9113,20:00,
8,Dragons,Dra,1,1,,Fri 20:00-23:00  Mon 20:00-23:00,Mon 19:15-  Wed 20:00,,,,,DR2747,19:15,
9,East Berks,EB,20,20,,Mon 20:00-22:00,Thu 19:45-22:30,,,,,EB9343,19:45,
10,HCA,HCA,25,32,,Tue 19:30-23:00,Fri 20:00-23:00,,,,,HC8923,20:00,
11,Maidenhead Racketeers,MR,21,21,,Mon 19:00-21:00, Thu 19:30-21:30,Fri 19:30-,,,,,,19:30,
12,Racquets,Rac,1,1,,Tue 19:15-23:30,Tue 20:00-23:30 Sun 19:00-23:30,,,,,RQ3121,20:00,
13,Reading & Country,R&C,30,23,,Thu 19:45-21:45,Tue 20:00-22:30 Wed 20:00-22:30,,,,,RC3894,20:00,
14,Shuttle Smashers,SS,24,24,,,Mon Ladies 20:00- Mixed 19:30-,,,,,SS8217,20:00,
15,Slough,Slo,17,17,,Tue 19:00-21:00,Mon 20:00-22:30,,,,,SL7935,20:00,
16,South Bucks,SB,1,1,,,Tue/Thu 20:00-,,,,,SB7728,20:00,
17,Wednesday,Wed,18,18,,Wed 20:00-22:30,Wed 19:30-22:30,,,,,WE3474,19:30,
18,Windsor Phoenix,WP,26,26,,Wed,Tue 19:30-,,,,,WP5682,19:30,
19,Wooburn Hill,WH,19,19,,Mon 19:30-22:00,Thu 19:30-,,,,,WH8262,19:30,
20,Wycombe Originals,WO,1,1,,Mon 20:00-22:30,Thu 20:00-,,,,,WY4976,20:00,
21,Bedgrove,Bed,1,1,,,,,,,,,20:00,
